#Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
836	925.020	-6.937	924.852
837	925.050	-6.498	924.880
838	925.080	-6.525	924.911
839	925.110	-6.721	924.940
840	925.140	-6.663	924.970
841	925.170	-6.477	924.999
842	925.200	-6.095	925.031
843	925.230	-5.555	925.064
844	925.260	-4.852	925.092
845	925.290	-4.369	925.121
846	925.320	-4.307	925.153
847	925.350	-4.587	925.180
848	925.380	-4.497	925.213
849	925.410	-3.938	925.241
850	925.440	-3.266	925.273
851	925.470	-2.595	925.299
852	925.500	-1.719	925.330
853	925.530	-0.720	925.364
854	925.560	0.002	925.389
855	925.590	0.313	925.419
856	925.620	0.593	925.451
857	925.650	1.274	925.478
858	925.680	2.227	925.512
859	925.710	3.122	925.543
860	925.740	3.936	925.575
861	925.770	4.955	925.603
862	925.800	5.753	925.638
863	925.830	6.140	925.662
864	925.860	6.288	925.691
865	925.890	6.793	925.724
866	925.920	7.474	925.749
867	925.950	8.094	925.782
868	925.980	8.584	925.809
869	926.010	9.136	925.838
870	926.040	9.590	925.870
